[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
0.000143736 361990 9.41436 3.67318
0.000146052 340250 9.78353 3.97419
0.000156172 278961 7.6234 3.08259
0.000106594 383351 8.37261 3.33579
8.16271e-05 438955 8.62921 3.72117
0.000119062 362800 8.77624 3.372
0.000130557 413880 8.93764 2.79927
0.000121655 391281 8.44023 2.93693
0.000138335 314661 8.52555 3.47958
0.000115755 375088 8.47788 3.36666
0.000172046 279597 8.72207 3.11095
0.000105477 420967 9.11989 4.11146
0.000147517 309673 8.58536 2.99424
0.000188989 267049 8.63371 3.24036
0.000125005 381394 8.77458 3.30788
0.000108451 387463 8.25271 2.721
0.000123133 365192 8.79156 3.51983
0.000132086 346264 8.82894 3.28559
0.000101072 413155 8.96834 3.60786
6.82094e-05 606194 8.34035 3.12259
0.00011362 369482 7.94623 3.39371
9.79006e-05 442950 7.89187 2.95638
6.63207e-05 554418 7.90862 3.33012
7.31546e-05 615453 8.94592 3.68075
0.000131608 351014 8.21833 2.58893
9.9125e-05 499748 9.06838 3.49444
0.000131542 454556 9.82211 4.21159
0.000112516 407723 8.67292 3.6368
0.000107758 404349 8.69682 3.49886
0.000109837 437263 9.15156 3.54246
0.00013476 343505 9.09524 3.61067
9.76321e-05 455672 8.68651 3.03595
8.15812e-05 514306 8.96756 3.49918
0.000102823 381170 8.08918 2.93822
0.000133199 346564 8.21336 3.14497
0.000136432 338984 8.04905 2.96931
6.56159e-05 634238 8.33093 2.74538
0.000107837 410450 8.50813 4.20489
8.87793e-05 504862 9.34113 3.64149
0.000117031 341662 7.97708 2.42477
9.60889e-05 398715 8.35712 3.12926
0.000118506 372686 8.2992 2.6484
0.000125622 345305 8.3168 2.67095
0.000169027 311665 8.93976 3.34106
9.30077e-05 438595 8.42428 3.1197
0.000108453 406879 9.60423 3.98301
0.000102377 413270 8.07254 2.90843
0.000117221 370338 8.46453 3.8304
0.000163522 308500 8.83418 4.15187
0.00018151 299086 9.43223 3.89986
0.00016576 293397 9.35704 4.13033
0.000118691 377835 8.97519 3.90813
0.000145344 299570 8.19492 3.06681
0.00017535 272722 9.04274 4.00186
0.000121489 416159 8.78 3.65036
0.00012262 371337 8.23453 2.72533
0.000109806 352108 7.99999 3.27973
4.61812e-05 736980 8.36558 2.95597
0.000151132 318349 8.53917 3.31791
8.43316e-05 455026 7.90381 2.77348
0.000104558 442741 8.62207 3.20821
0.000140626 344585 8.6748 4.00777
0.000126939 386744 8.66822 3.68025
8.47435e-05 491060 8.63739 3.54251
7.85004e-05 516042 8.88906 3.85675
9.70558e-05 429349 8.75329 3.5459
8.76879e-05 477654 8.57156 2.99985
6.27199e-05 658418 8.10609 2.97136
0.000130755 361598 9.06828 3.7554
0.00012824 348299 8.80777 3.80347
8.12522e-05 516887 7.83757 2.13384
0.000113647 355756 8.02688 3.04663
0.000109765 391138 8.30529 2.65441
0.00015644 313079 8.81238 3.95
0.00011391 326926 8.11786 2.77258
0.000101314 442458 8.24504 2.84672
6.8489e-05 585962 8.11752 2.29188
7.62656e-05 489674 8.13847 2.99386
4.07968e-05 933452 7.91082 3.28786
0.000145298 359767 9.81556 4.53123
0.000148828 310736 8.3073 3.29679
0.000139543 390320 9.84927 4.19931
9.93342e-05 425158 8.73699 4.03209
0.000133681 331968 8.14284 3.17618
5.73402e-05 643410 8.09457 2.04953
0.000115149 380713 9.12309 4.14931
0.000103006 387712 8.552 3.20203
0.00011033 370404 8.06486 2.59446
0.000125859 364291 9.05128 3.73058
9.86309e-05 414048 8.63461 3.41433
0.000131033 340675 8.60352 3.84435
0.000164084 264626 8.06757 2.7256
0.000159307 328503 9.10062 3.71301
0.000162869 311191 8.5659 2.83396
0.00016936 270782 8.35855 3.32642
0.000215253 254399 8.84217 3.5068
0.000253611 256277 9.63091 4.34419
0.000227979 230174 9.00792 4.24127
0.000196655 271497 8.85693 3.57751
0.0001559 306751 8.32686 2.89654
0.000189031 292568 8.82678 3.26155
0.00013304 340671 8.80045 4.16321
0.000121289 366573 8.69187 3.39035
0.000158293 332814 8.71394 3.58819
9.83384e-05 403013 7.97474 2.80149
0.000137928 292762 8.53661 2.81101
0.000132087 362878 9.45011 4.11231
6.61917e-05 671414 8.26125 2.53537
0.000153666 265539 8.58404 3.68474
0.000143327 319201 8.52395 3.50307
0.000121625 397010 9.32469 3.80581
0.000131954 342672 8.9288 4.47691
0.000183371 271727 8.59549 3.14384
0.000152263 329013 9.41859 4.22174
0.000120238 395635 8.09599 3.06935
0.000141321 271855 7.77835 2.28333
0.000161952 301177 8.21107 3.31837
7.04942e-05 598057 8.57483 4.07847
0.0001128 374880 8.66571 3.94529
7.22108e-05 568203 8.72716 3.86342
9.20511e-05 501416 8.54333 4.46867
8.59638e-05 470169 8.65485 3.71557
0.000114082 405132 8.5633 3.10482
0.000113946 357712 8.05974 2.61061
8.60586e-05 484273 8.72162 3.70844
9.98279e-05 420804 8.79701 3.2351
0.00012555 396735 9.20785 4.29073
8.82337e-05 495006 8.90416 3.40598
0.000128942 390334 9.48653 3.81964
8.26977e-05 453062 8.09523 2.6531
0.000105321 395291 8.29772 2.86135
8.67294e-05 459461 8.00163 3.02344
0.000111778 358777 8.73691 3.45883
0.000121216 369511 8.72125 2.77116
0.000141138 350349 8.60865 3.01949
0.000171316 273630 8.75069 3.36545
0.000157026 315868 8.298 3.08116
0.000127336 331747 8.1952 2.75517
0.000164073 281868 8.73843 3.67806
9.51948e-05 449670 8.5321 3.17916
9.61261e-05 459157 8.8309 3.17674
9.19745e-05 570678 9.69999 4.70852
5.82477e-05 674623 8.17644 3.53817
8.18445e-05 519318 8.76347 3.38871
0.000126684 385937 9.34802 4.23233
6.96439e-05 554902 8.57314 3.3976
