[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
0.000162109 275971 8.22307 3.04296
9.53088e-05 437671 8.21701 2.7761
9.7856e-05 406476 8.33466 4.01726
7.19457e-05 621945 8.74223 3.05552
0.000137731 343425 9.29788 3.95662
5.34689e-05 743717 8.30932 3.16634
5.64458e-05 716435 8.19669 3.32357
0.000156118 313897 8.65482 3.36873
0.000118687 334033 8.34276 3.33307
0.000137298 324952 8.4257 2.97551
0.000165204 279277 8.19217 3.74386
0.000178286 265436 8.43003 3.32429
0.000170484 302080 8.95502 3.60937
9.94224e-05 397995 7.40981 2.76112
9.14621e-05 475846 9.25694 3.50968
0.000121782 372243 8.55177 2.91628
4.72024e-05 838086 8.55626 3.89715
3.21091e-05 1.25347e+06 8.5226 3.32468
9.38508e-05 420509 8.09781 3.09735
9.22578e-05 406488 8.52064 3.76889
0.000166468 273733 9.08727 3.82037
0.000172809 292896 8.45364 3.33316
0.00017415 263482 8.56592 3.37523
0.000134255 308303 8.77136 4.00746
0.000101229 437818 8.92835 3.96259
0.00012257 384051 8.90455 3.87692
0.00016625 290149 8.97441 3.87255
0.000130973 356368 8.66519 3.05019
0.000193411 297393 9.23724 4.16278
0.000187324 291251 9.74226 4.50414
0.000167703 307246 9.38162 4.09457
0.000159578 299223 9.37166 4.42195
0.000142307 330740 9.12219 4.00885
0.000123053 383132 8.68379 3.60653
9.87969e-05 462619 8.95982 3.77936
8.68691e-05 461601 8.07143 3.77548
0.000142337 335301 8.93724 3.14572
0.000148977 322315 8.94812 2.88095
0.000131758 344517 8.98638 3.60024
0.000111623 409115 8.88799 3.38956
7.05565e-05 486240 7.81565 3.39741
0.000131461 334824 8.22265 2.91622
0.000138836 395297 9.17525 3.89007
0.000120064 381825 8.39302 2.87301
0.000126896 333621 8.77728 2.86354
0.000145721 326457 8.89422 3.36555
0.000146862 350832 9.30658 4.0479
0.000142698 305892 8.13548 2.53758
0.000134042 320672 8.19362 2.91521
0.00013377 363952 8.8902 3.85028
0.000104533 474857 9.16897 3.43369
0.000107857 385152 8.91894 4.03163
0.000152138 307429 8.68683 3.71684
9.84213e-05 408798 8.41734 4.09192
0.000129477 330802 8.61413 3.54072
0.000100316 456298 8.8402 3.08545
5.26884e-05 864916 9.06013 3.07665
0.000120171 359343 8.36495 2.84324
4.46264e-05 951921 8.96361 3.39108
8.75589e-05 496429 8.4908 3.32511
8.7669e-05 526867 9.40657 3.64323
4.809e-05 750789 8.2465 3.82923
8.45876e-05 548973 8.68253 2.86198
8.35263e-05 550334 9.53238 3.77353
0.000140234 336915 9.01138 3.52419
9.30882e-05 469754 7.94586 2.71954
4.10688e-05 877953 8.32229 2.77814
2.73892e-05 1.38125e+06 8.66866 3.81216
0.000102367 407068 8.36896 2.64334
0.000115889 350880 8.5448 3.47277
0.000108608 448453 9.78398 4.32899
4.0724e-05 973294 8.52325 3.22033
0.000109886 379677 8.15353 2.88921
0.000175272 302282 9.14909 3.73114
0.00019733 275420 9.26142 3.85044
0.000198689 272675 9.35286 4.17825
0.000145124 329211 8.12732 3.31329
6.38348e-05 559302 7.70284 2.84864
8.97737e-05 529325 8.7867 3.1061
0.000135743 386789 8.68005 3.11629
8.3653e-05 491588 9.29083 4.00647
0.000126917 330278 8.45792 3.37527
0.000141013 336554 8.9294 3.73158
6.9972e-05 565550 8.49723 3.44635
0.000137886 319238 8.47964 3.63832
0.000119124 389140 8.71832 3.00333
0.000130835 353038 8.68874 3.06216
0.000164813 291281 8.56023 3.04477
0.000151534 309754 8.65801 2.89317
0.000144855 316917 8.42121 3.41044
0.000167368 318328 9.14223 3.50686
0.000155489 320778 9.15862 4.39847
0.000150189 313217 9.11248 3.92612
0.000196279 254105 8.61467 3.45332
0.000148044 292891 8.43134 2.82966
0.000194318 297450 9.63157 3.98656
0.00010561 432090 8.84528 3.84212
0.000125678 361715 8.94506 3.67629
0.000164817 310459 9.15667 3.11321
0.000178126 286573 8.29076 3.28428
0.000124178 351437 8.46148 3.14818
8.16438e-05 543842 9.11304 4.25695
0.000156118 299972 8.62391 3.23454
0.000162476 327609 9.18889 3.92288
0.000159796 319970 9.28592 4.12071
8.53048e-05 508913 8.1698 3.2333
6.02926e-05 655038 8.25383 3.29587
0.000133942 300691 8.07555 2.90798
0.000102745 401764 8.35089 2.97363
7.04109e-05 567060 9.0106 4.19687
0.000154049 286418 7.98079 2.35706
0.000148896 336746 9.01869 3.56322
