SPM (Spatial Population Model)
Call: ..\..\Build\windows\spm -p -q -g 0 -o profile.dat 
Date: Wed Apr 22 15:16:31 2020
v2.0.2-2020-04-21 (rev. 2020-04-21 11:34:49 UTC). Copyright (c) 2008-2020, NIWA
User name: alist
Machine name: HP1040 (Windows_NT, PID=6968)

[mature-2002]
report.type: observation
label: mature-2002
type: proportions_by_category
year: 2002
time_step: one
min_age: 1
max_age: 30
age_plus_group: true
area age observed expected residual errorvalue processerror totalerror score
r5-c6 26 1 0.998276 0.00172432 2.4957 0 2.4957 0.00430711
r5-c6 27 1 0.998666 0.00133393 3.05638 0 3.05638 0.00407971
r5-c6 28 1 0.998967 0.00103325 2.16263 0 2.16263 0.00223568
r5-c6 29 1 0.999199 0.000801199 1.5862 0 1.5862 0.00127137
r5-c6 30 1 1 0 1.71322 0 1.71322 -0
r6-c5 1 0 0 0 0 0 0 -0
r6-c5 2 0 0 0 0 0 0 -0
r6-c5 3 0 0 0 0 0 0 -0
r6-c5 4 0 0 0 0 0 0 -0
r6-c5 5 0 0.0779569 -0.0779569 0 0 0 -0
r6-c5 6 0 0.971985 -0.971985 0 0 0 -0
r6-c5 7 0 0.983497 -0.983497 0 0 0 -0
r6-c5 8 0 0.987878 -0.987878 0 0 0 -0
r6-c5 9 0 0.990774 -0.990774 0 0 0 -0
r6-c5 10 0 0.992957 -0.992957 0 0 0 -0
r6-c5 11 0 0.994648 -0.994648 0 0 0 -0
r6-c5 12 0 0.995958 -0.995958 0 0 0 -0
r6-c5 13 1 0.996966 0.00303442 0.910495 0 0.910495 0.00276702
r6-c5 14 1 0.997733 0.00226749 0.383403 0 0.383403 0.000870349
r6-c5 15 1 0.998309 0.00169111 2.01769 0 2.01769 0.00341502
r6-c5 16 0 0.998738 -0.998738 0 0 0 -0
r6-c5 17 1 0.999055 0.000944696 0.469774 0 0.469774 0.000444004
r6-c5 18 1 0.99929 0.000709807 0.479585 0 0.479585 0.000340534
r6-c5 19 1 0.999464 0.000535558 0.573052 0 0.573052 0.000306985
r6-c5 20 1 0.999594 0.000405736 0.547075 0 0.547075 0.000222013
r6-c5 21 1 0.999691 0.000308556 0.408815 0 0.408815 0.000126162
r6-c5 22 1 0.999765 0.000235471 1.34894 0 1.34894 0.000317675
